batch_id,station,cycle_time_s,station_util,queue_len,downtime_hours,scrap_count,rework_count,scrap_cost,downtime_cost,unit_value
B0168,Packing,29.8,0.6049,2.1,0.334,2,1,118.8,351.74,95.9
B0169,Cutting,42.86,0.7298,4.92,0.731,3,2,112.97,345.79,97.45
B0169,Welding,54.15,0.8741,20.74,1.214,8,5,118.73,335.65,98.64
B0169,Assembly,63.99,0.9243,36.67,0.964,7,8,116.43,328.68,94.77
B0169,Packing,27.33,0.5916,4.18,0.41,2,1,123.55,331.57,97.95
B0170,Cutting,44.01,0.7208,7.9,0.473,3,2,115.72,337.11,95.66
B0170,Welding,52.6,0.8894,14.05,1.209,8,6,117.35,343.97,94.17
B0170,Assembly,66.76,0.9656,36.68,1.742,12,5,114.49,334.66,96.84
B0170,Packing,25.85,0.6166,2.7,0.358,2,1,116.99,354.15,95.46
B0171,Cutting,41.5,0.7325,4.83,0.314,2,3,123.4,336.36,95.0
B0171,Welding,50.57,0.8489,12.09,1.336,5,6,122.29,352.87,97.17
B0171,Assembly,64.64,0.913,28.29,0.808,10,10,121.76,331.05,98.25
B0171,Packing,26.25,0.6295,2.12,0.406,2,1,116.49,337.46,93.79
B0172,Cutting,44.14,0.7225,4.64,0.569,4,3,122.86,348.54,97.43
B0172,Welding,48.52,0.8611,13.21,0.621,3,6,113.49,350.9,93.55
B0172,Assembly,65.1,0.9458,27.63,1.009,7,9,112.15,340.66,94.39
B0172,Packing,26.07,0.6215,2.26,0.225,1,1,121.16,340.63,94.84
B0173,Cutting,40.1,0.7044,8.33,0.714,3,2,123.75,325.55,98.79
B0173,Welding,53.09,0.8772,22.3,1.508,8,5,118.47,344.22,93.88
B0173,Assembly,63.25,0.9071,31.74,1.535,6,8,116.73,324.56,95.98
B0173,Packing,27.2,0.5983,3.73,0.314,1,1,118.81,348.29,94.76
B0174,Cutting,40.12,0.7276,8.13,0.534,4,3,119.02,349.01,96.91
B0174,Welding,51.08,0.8762,12.77,1.467,8,3,120.81,332.14,93.94
B0174,Assembly,61.22,0.9551,38.73,1.178,5,6,119.03,348.62,97.02
B0174,Packing,29.62,0.6255,2.93,0.389,1,1,116.46,335.27,95.66
B0175,Cutting,41.03,0.7226,5.6,0.495,3,2,119.53,353.29,97.11
B0175,Welding,55.85,0.8419,23.23,0.694,7,4,113.77,336.99,93.9
B0175,Assembly,67.53,0.9546,33.08,1.102,8,10,116.78,351.72,97.45
B0175,Packing,26.6,0.6299,2.5,0.403,1,0,115.68,328.24,96.0
B0176,Cutting,42.08,0.703,8.61,0.463,4,3,123.65,329.31,93.7
B0176,Welding,50.0,0.8821,11.99,1.065,6,5,117.12,335.81,93.18
B0176,Assembly,65.03,0.9442,37.48,1.709,11,10,118.42,326.88,98.47
B0176,Packing,29.55,0.5938,2.11,0.435,2,1,118.77,351.3,94.18
B0177,Cutting,43.31,0.7426,6.05,0.776,4,3,118.24,330.45,97.99
B0177,Welding,48.67,0.8848,13.83,0.744,3,3,117.94,347.33,97.25
B0177,Assembly,60.85,0.9319,22.12,1.28,12,11,113.64,336.84,95.55
B0177,Packing,27.19,0.6339,3.69,0.371,1,1,120.25,336.9,96.97
B0178,Cutting,42.76,0.7191,6.93,0.364,3,2,118.83,344.96,93.4
B0178,Welding,49.46,0.8918,20.0,1.461,7,4,123.81,331.83,93.89
B0178,Assembly,66.93,0.9079,29.38,1.284,8,10,117.6,351.77,98.83
B0178,Packing,30.24,0.6075,2.79,0.243,2,1,117.86,323.45,93.33
B0179,Cutting,38.94,0.705,7.19,0.74,5,1,118.87,337.18,95.31
B0179,Welding,48.61,0.8834,13.94,1.125,7,5,122.21,352.28,93.64
B0179,Assembly,65.65,0.9173,28.14,1.102,13,7,117.12,339.35,95.59
B0179,Packing,29.96,0.6095,2.21,0.173,2,1,119.69,339.43,93.91
B0180,Cutting,38.27,0.7182,7.67,0.364,4,2,117.8,326.09,96.47
B0180,Welding,52.58,0.8733,19.84,0.884,4,3,118.92,347.29,97.29
B0180,Assembly,61.37,0.9402,38.85,0.999,9,5,120.32,329.22,97.68
B0180,Packing,27.8,0.5976,3.4,0.338,2,1,119.59,335.49,93.98
